#{"t_start": 1762118954.1241758, "env_id": "None"}
r,l,t
22.317507,40,0.323081
-4.438138,40,0.330302
25.317507,40,0.337624
24.517507,40,0.344781
25.810789,40,0.351939
26.217507,40,0.35912
-29.358719,40,0.366127
0.827201,40,0.373121
3.992622,40,0.380483
-63.124628,40,0.38768
-83.314366,40,0.394743
24.810789,40,0.401912
-0.595547,40,0.408845
-58.86315,40,0.415794
2.324231,40,0.422681
25.717507,40,0.429567
0.786253,40,0.436508
9.524561,40,0.443478
-6.382515,40,0.450527
-28.73517,40,0.457507
-32.337347,40,0.464436
23.417507,40,0.471258
1.027375,40,0.478275
-97.914914,40,0.485285
-60.699166,40,0.492304
12.124561,40,0.499362
17.017507,40,0.506275
24.417507,40,0.51324
22.010789,40,0.520108
-104.629963,40,0.526865
-14.137692,40,0.533584
4.369343,40,0.540361
-0.02759,40,0.547205
25.817507,40,0.554044
25.710789,40,0.560817
26.910789,40,0.567644
22.717507,40,0.574539
-3.870621,40,0.581317
1.784251,40,0.588039
25.710789,40,0.594802
-90.473201,40,0.602263
-30.416621,40,0.609382
23.017507,40,0.61622
25.510789,40,0.623064
-0.971454,40,0.630205
11.124561,40,0.637373
-0.975698,40,0.644542
-39.043493,40,0.651649
-78.700266,40,0.658678
4.288366,40,0.665711
23.310789,40,0.672677
24.317507,40,1.030661
27.017507,40,1.03829
18.410789,40,1.045212
-29.984986,40,1.05206
23.810789,40,1.058801
-0.439899,40,1.065594
-6.675055,40,1.072327
10.924561,40,1.079029
11.124561,40,1.085769
21.110789,40,1.09253
-13.540064,40,1.099219
-0.185386,40,1.105994
22.710789,40,1.112726
-4.441009,40,1.119436
25.010789,40,1.126277
-12.477066,40,1.133414
-99.20284,40,1.141136
-63.985267,40,1.148307
-0.502271,40,1.155327
-63.628543,40,1.162366
10.126198,40,1.16941
19.510789,40,1.176428
-0.50113,40,1.183419
21.017507,40,1.190319
10.824561,40,1.197242
-66.623787,40,1.204216
24.417507,40,1.211135
25.410789,40,1.218138
25.110789,40,1.2251
24.517507,40,1.231975
24.910789,40,1.238904
23.410789,40,1.246025
-66.080303,40,1.253044
-1.584421,40,1.259889
-34.277178,40,1.266697
12.826198,40,1.273463
-57.493227,40,1.280217
-54.271382,40,1.286964
-59.177792,40,1.293751
24.410789,40,1.300484
2.578338,40,1.307238
-2.713747,40,1.313971
12.424561,40,1.320721
10.024561,40,1.327525
0.093931,40,1.334247
-50.57083,40,1.341019
-20.606368,40,1.347794
-38.830945,40,1.35478
-1.388446,40,1.361968
22.310789,40,1.368962
24.910789,40,1.37587
11.524561,40,1.704458
-37.738114,40,1.71193
-74.574517,40,1.719011
-26.840664,40,1.725833
25.017507,40,1.732602
-42.778964,40,1.739431
24.517507,40,1.746205
-11.005043,40,1.753008
9.824561,40,1.75976
23.210789,40,1.766551
24.110789,40,1.77328
25.817507,40,1.780011
7.153095,40,1.786767
23.417507,40,1.793498
23.010789,40,1.80024
